,Unnamed: 0,survey,mturk,Q25_1,Q25_2,Q25_3,Q25_4,Q25_5,Q25_6,Q25_7,Q25_8,Q25_9,Q25_10,Extraversion,Agreeableness,Conscientiousness,Emotional_Stability,Openness_to_Experience,trustworthy,lively,natural,boring,empathetic,respectful,cold,attractive,polite,engaging,Q02
13,13,2,14,9.0,6.0,9.0,6.0,9,6,9,6,9,6,7.5,7.5,7.5,7.5,7.5,0.3784371434559798,1.0490722673691686,-0.160818217803898,-0.3726009577705093,0.4764835727759577,1.0000490527091797,-0.2588646471238758,-0.2255313137905426,0.6235532167559245,0.6568865500892578,1
14,14,2,15,9.0,7.0,10.0,8.0,9,7,9,8,9,8,8.0,8.0,9.0,8.5,8.5,0.4757418489663867,0.2246820647286924,0.6166722326873033,-0.3107708370800296,0.0453536474160535,0.4398761655038589,0.2246820647286924,0.4424085156330534,0.4398761655038589,0.3348114652454701,1
15,15,2,16,9.0,6.0,9.0,7.0,10,6,9,7,10,7,7.5,7.5,8.0,8.5,8.5,0.3410007033483871,0.9210100813268322,0.6598950627247023,0.2498880292408686,0.0554396773054054,-0.0812293338558725,-0.1601190042429651,0.15877535513335,0.4198903737354798,0.5687823886171837,2
16,16,4,17,9.0,6.0,9.0,8.0,9,6,9,7,8,7,7.5,7.5,8.0,8.0,8.0,0.6772677333445709,0.7106010666779043,0.4847841959238713,-0.8574371918702198,-0.5161301986637673,0.6721043591937643,-0.4391367836954874,0.8697512707652705,0.489947570074678,0.9082479782494104,1
17,17,4,18,9.0,9.0,10.0,8.0,9,9,7,10,9,10,9.0,8.0,10.0,8.5,9.5,0.821437266505073,0.8079784841756588,1.0676021371874165,-1.1539838451379765,-0.7747992636125022,0.621750888995275,-0.6286343929301583,0.7214372665050729,0.395774191807053,0.7214372665050731,2
18,18,4,19,10.0,9.0,9.0,9.0,9,7,10,10,9,10,8.5,9.5,9.5,9.0,9.5,0.5088862211667117,0.4088862211667116,0.2202032328030055,-0.6763498127123728,-0.3543334910153334,0.5393903015909716,-0.0337317957728304,0.567065129106158,0.6989838359849545,0.8543334910153274,1
19,19,4,20,9.0,10.0,10.0,10.0,7,8,6,10,9,10,8.5,8.0,10.0,9.5,8.5,0.8769572214288633,0.4873647936846469,0.776632511187943,-1.0497027074192704,-0.6376715839588847,0.8659002286912388,-0.8492156420578897,0.5096411342803558,0.8101281996417364,0.6432991778546097,1
20,20,4,21,10.0,9.0,9.0,10.0,8,7,8,10,10,9,8.5,8.5,9.5,10.0,8.5,0.8418403730263945,0.3858854452412529,0.8593577436623668,-0.9695661912940338,0.4954948345285451,0.6305295758004903,-0.2672657250110434,-0.1559549277851392,0.2062065734100705,0.6401389650877825,1
21,21,5,22,9.0,8.0,9.0,8.0,9,7,9,8,9,8,8.0,8.5,8.5,8.5,8.5,0.7293621623241415,0.6960288289908082,0.7293621623241415,-1.9306573405215637,0.3252565977837767,0.779875357891687,-0.6344941179995892,0.6960288289908081,0.7293621623241414,0.7465420245583537,1
22,22,5,23,9.0,6.0,9.0,7.0,10,7,10,7,10,7,8.0,8.0,8.0,8.5,8.5,0.1252114362018583,0.3840784002424706,0.2379782515554978,0.0970197323634484,0.2149281772120113,0.5762786976164163,0.2995032887272409,0.3507450669091373,0.3840784002424706,0.4635118822627767,1
23,23,5,24,9.0,7.0,10.0,9.0,10,10,8,9,9,9,9.5,7.5,9.5,9.0,9.5,0.4339412608443152,0.2179069691599349,-0.3104488558861205,-0.3672419975492446,0.3376540191670204,0.6795961275393236,0.6166422191953623,0.4536883108514006,0.3475275441705631,0.3240677358407725,2
24,24,5,25,9.0,10.0,10.0,9.0,8,10,7,10,8,8,9.5,8.5,10.0,8.5,8.0,0.7570289621645495,0.2697162823640849,0.557974687617604,-1.2074698355243934,0.2976516810507051,1.121804177925107,-1.1687385675443471,0.3084475503441312,0.9560832367114946,0.6075018248910766,1
25,25,6,26,9.0,9.0,9.0,9.0,9,9,9,9,9,9,9.0,9.0,9.0,9.0,9.0,0.8593712138546457,0.4527551907017291,0.5194218573683957,-1.0306601830564526,-0.4695217251370583,0.792704547187979,-0.6240441599035353,0.7308955732813881,0.6430398051815774,0.792704547187979,2
26,26,6,27,8.0,9.0,7.0,8.0,7,8,8,9,9,9,8.0,8.5,8.0,8.5,8.0,0.008292983240798,1.118580871628512,0.6526611146310481,-1.1353282384802492,-0.0250403500925353,1.0672015218713966,-1.1353282384802492,0.9915118469928396,0.0416263165741313,0.9491555054476156,2
27,27,6,28,8.0,9.0,9.0,9.0,8,8,9,9,9,9,8.0,9.0,9.0,9.0,8.5,0.9837780215755184,0.4382222918787185,0.7610001567271183,-1.3118708956964582,0.3861852258181409,0.642296423999874,-1.1598338296358803,0.480907491575674,0.8463705561210294,0.566277890969585,2
28,28,6,29,9.0,8.0,10.0,9.0,9,6,8,10,8,9,7.5,8.0,10.0,8.5,9.0,0.7334860326669361,0.2787079453518614,0.7066129725743063,-1.1393724367786222,0.2819380819722132,0.9775417429911404,-0.8050071363154738,0.4829700491020285,0.7302558960465844,0.4862001857223802,1
29,29,6,30,9.0,8.0,9.0,9.0,10,8,8,10,9,8,8.5,8.0,9.5,9.0,9.0,0.9301480890816296,0.474154452095984,0.6996061052712775,-1.4035147517201665,0.1950081430471225,1.0889330755902569,-0.8322501228293443,0.1000984736821812,0.968571753050022,0.512578116064376,1
30,30,7,31,9.0,8.0,10.0,7.0,8,7,8,8,10,9,8.0,8.0,9.0,8.5,8.5,0.6863306002615894,0.3146055002757675,0.5786673641563859,-0.8646316635623168,-0.1365835219275506,0.7145299141492969,0.2864061863880601,0.7375952085913782,-0.1263154830362985,0.6760625613703378,2
31,31,7,32,9.0,9.0,8.0,9.0,9,7,8,9,8,9,8.0,8.5,8.5,8.5,9.0,0.6757153943035514,0.5243008943353313,0.4163878388327424,-0.4361745497489402,0.0542312834254932,0.1954776722614156,0.0773965056265289,0.2700573944306713,0.4728863943671113,0.3830545054994091,1
32,32,7,33,9.0,6.0,9.0,7.0,9,6,10,7,9,6,7.5,8.0,8.0,8.0,7.5,-0.051256152189235,1.1718157611398832,0.7419029011412881,-0.1645645883793098,-0.2778730245693845,-0.1878854731410139,0.4919651439994347,0.5719402468561761,0.1753607201909144,0.6619277982845467,2
33,33,7,34,8.0,7.0,8.0,7.0,8,7,10,7,8,7,7.5,8.5,7.5,7.5,7.5,-0.492942914048058,0.3604234893750381,0.8450057792562917,0.3172638541071559,-0.1476658319050001,0.4467427599108026,0.825353175387194,0.1877849483035091,0.4997286971132337,0.0583060424998623,1
34,34,7,35,9.0,8.0,9.0,8.0,9,8,9,8,9,8,8.5,8.5,8.5,8.5,8.5,0.8522902757697323,-0.2746871679987199,0.7976080702479763,-0.2200049624769639,0.7429258647262202,-0.2200049624769639,0.5241970426391966,-0.0559583459116961,0.7976080702479763,-0.1106405514334519,2
35,35,8,36,9.0,10.0,8.0,10.0,9,8,10,10,10,9,8.5,10.0,9.0,10.0,9.0,0.4235406216491874,0.4223731189685369,0.4890397856352037,-0.3929949839160971,0.3494162486596751,0.6867047802739028,-0.1361210289335767,0.1752918756701629,0.2592089603438215,0.3568739549825208,1
36,36,8,37,9.0,8.0,9.0,7.0,10,7,8,7,10,8,8.0,8.0,8.0,8.5,9.0,0.8019499252977612,0.7686165919644279,0.8019499252977612,-1.9359587581445692,-0.1787569944956946,0.8019499252977611,-0.4989337244440585,0.8019499252977611,0.8352832586310944,0.7686165919644278,1
37,37,8,38,10.0,8.0,9.0,7.0,10,7,9,9,9,9,8.5,8.5,9.0,8.0,9.5,0.4276575044962254,0.3609908378295587,0.5757168080146031,-0.94798134153977,0.355100449755541,0.5757168080146032,0.1403744795704965,0.2913789771258832,0.5757168080146032,0.5453286687182788,1
38,38,8,39,10.0,9.0,6.0,8.0,10,8,9,10,8,8,9.0,9.0,8.0,8.0,9.0,1.059398076011055,0.9031139874313868,0.8134965655183853,-1.005353735233831,-0.1507098284518102,0.6550268778663797,-0.6624579147123234,0.3632238568810402,0.1484700806493661,0.5424587007070433,1
39,39,8,40,10.0,8.0,9.0,9.0,10,10,9,10,9,10,10.0,8.5,9.5,9.0,10.0,0.8747005855713968,0.3323555801181462,0.0485700209270901,-0.0633993446716321,0.3310681983867294,0.3336429618495629,-0.0420353769370212,0.2430375639854517,0.3883402629175073,0.2203862145194239,2
40,40,9,41,9.0,8.0,9.0,6.0,9,8,9,8,9,7,8.5,8.5,8.5,7.5,8.0,0.812124568444103,0.5936859694080809,0.9972298341467916,-1.2215508985692545,-1.1623315990512433,0.7479403574936547,0.4727649146558404,0.6862386022594252,0.4727649146558405,0.5344666698900701,2
41,41,9,42,9.0,9.0,9.0,10.0,8,7,9,10,10,9,8.0,9.0,9.5,10.0,8.5,0.3483354302347593,0.1366624728638167,0.179161424413104,0.1274968546478626,0.1216603759623915,0.4933417209390353,0.3725031453521386,0.2000000000000006,0.4783396240376099,0.2091656182159546,2
42,42,9,43,9.0,7.0,10.0,8.0,9,8,8,7,9,8,8.5,7.5,8.5,8.5,8.5,0.9405415760609857,0.9405415760609857,1.007946269823095,-0.7622884182823647,0.0887575653415896,0.3961378362960145,-0.4215748139946059,0.3272570883430203,-0.0815992368022896,0.4642805571535664,2
43,43,9,44,10.0,9.0,6.0,7.0,10,8,10,8,10,8,9.0,9.5,7.0,8.5,9.0,0.5682024179708546,-0.0332034930530672,0.1709712367301939,0.3237508063116594,0.1723556461098637,0.0792991946524642,0.225135215691329,0.5279255360949208,0.33069435485426,0.501535751304188,1
44,44,9,45,9.0,9.0,8.0,10.0,10,10,9,9,9,10,9.5,9.0,8.5,9.5,10.0,0.4881783964727712,0.1038079435533701,-0.2783175205207184,0.6081271715708181,0.3015629547080577,0.4126171492614431,0.3659846325294118,0.1038079435533702,0.5614946548387869,-0.1005966593006663,2
45,45,10,46,8.0,9.0,9.0,9.0,8,7,8,9,9,9,7.5,8.5,9.0,9.0,8.5,0.0648570603685912,1.0405717585256191,0.8878801574769899,-1.1968825721703993,0.0209854068255319,1.0194951181061678,-1.2074208923801246,0.5579835695519682,0.3614203149602796,1.0844434120686786,2
46,46,10,47,9.0,9.0,9.0,10.0,9,7,8,10,8,7,8.0,8.5,9.5,9.0,8.0,0.7226286319804152,0.6822121909025941,0.6701281808027242,-1.346138287182998,0.040122766670432,0.8276295343357971,-0.9119684622724942,0.6751290831581062,0.5842943962916998,0.7226286319804152,2
47,47,10,48,10.0,9.0,10.0,10.0,9,7,10,10,9,9,8.5,9.5,10.0,9.5,9.0,0.8541444190733316,0.5493310707486123,0.6200720209879382,-1.034731899900452,-0.905472850139778,0.5574796378939307,-0.111404223028916,0.6330339364579757,0.8500701355006725,0.7541444190733314,1
48,48,10,49,9.0,7.0,9.0,9.0,9,7,8,9,8,8,8.0,7.5,9.0,8.5,8.5,0.7252666634192877,0.4448710611648133,-0.3495831452228644,-0.229319410386548,0.5850688622920506,0.818731864170779,-0.2894512778047064,0.1445413926194178,0.6919333300859544,0.2246073263284969,2
49,49,10,50,8.0,9.0,9.0,6.0,9,6,10,7,10,7,7.0,9.5,8.0,8.0,8.0,-1.5620714605571642,0.1612648357087457,0.5882739904983342,0.3513504577394762,0.6783596125290644,0.6216073238316674,0.6666501348470325,0.4081027464368733,0.8017785678931281,0.3180171244061428,2
50,50,11,51,9.0,6.0,10.0,7.0,8,7,9,8,10,7,8.0,7.5,9.0,8.5,7.5,0.5307298485507584,0.4607513093986787,0.4607513093986787,-0.2268905496756032,-0.0191628472096396,0.4274179760653454,0.2207942310945195,0.3596473519035411,0.4263140185702079,0.3929806852368745,1
51,51,11,52,9.0,8.0,9.0,8.0,9,6,9,7,9,6,7.5,8.5,8.0,8.5,7.5,0.3720600667790154,0.9321625775081784,0.6263897142343711,-0.5090387580721701,-0.0942109535558031,0.5325582238400266,0.2448952430513376,0.414448341354908,0.202506968475445,0.2782285763846709,1
52,52,11,53,9.0,7.0,9.0,9.0,9,6,9,6,9,7,7.5,8.0,7.5,9.0,8.0,0.7200020832196631,0.4885048719962251,0.1908656004232334,-1.3970684542831682,-0.635910153946188,0.6871933562034428,0.4885048719962251,0.8525485070773271,0.7200020832196633,0.8853572340935474,2
53,53,11,54,9.0,6.0,9.0,8.0,9,6,8,7,10,7,7.5,7.0,8.0,9.0,8.0,0.77953759374734,0.8128709270806733,0.6775083184819485,-1.906556896486172,-0.1897405212738794,0.8128709270806735,-0.3251031298726042,0.7795375937473402,0.8128709270806735,0.7795375937473402,1
54,54,11,55,10.0,8.0,10.0,9.0,9,7,10,10,8,10,8.5,9.0,10.0,8.5,9.5,0.2653482716192893,0.25533582304766,0.973525997807256,-0.6844649998062705,0.0903793930483627,0.911865555426404,-0.2445396912360463,0.5852486830462547,-0.1129165945700826,0.726884228283848,1
55,55,12,56,9.0,6.0,9.0,7.0,9,7,9,6,10,6,8.0,7.5,7.5,8.5,7.5,-0.3732913794455554,0.6649544605229418,-0.0718176274550064,0.1291648738720264,-0.0718176274550064,0.1291648738720264,0.1291648738720264,0.3634807085323926,1.3181475898357984,0.9161825871817328,2
56,56,12,57,8.0,9.0,9.0,8.0,8,9,7,8,8,9,8.5,8.0,8.5,8.0,8.5,0.9767029716568744,0.6379776791879685,0.4756003765029555,-1.3900847116438144,-0.015820895533737,0.943369638323541,-1.0798520909496283,0.2132230738179426,0.8621809869810347,0.943369638323541,1
57,57,12,58,9.0,8.0,10.0,10.0,6,9,8,10,6,9,9.0,8.0,10.0,8.0,7.5,0.5553832248119838,0.7371094492150573,0.6424814475794188,-1.1844459029281176,0.1865587776414753,0.8381883394669783,-1.1446616809785015,0.8586198955677468,0.0790289987732719,0.8650707841840292,2
58,58,12,59,9.0,8.0,9.0,9.0,9,7,8,9,10,8,8.0,8.0,9.0,9.5,8.5,0.7608803025863528,0.847567881384882,0.6168552080281177,-1.3941502351747213,0.2807966540589028,1.000922126850078,-1.4568336315468775,0.550188541361451,0.9622429129042936,0.6315302395475293,2
59,59,12,60,,,,,8,8,8,9,9,9,,,,,8.5,-0.2611321463297567,0.9758095994427896,0.3802450551819339,-1.498073892102303,0.0142389252145685,0.988521436082327,-1.1814714290322252,0.2023334352602712,0.8004269260366245,1.1323303774522226,2
60,60,13,61,9.0,8.0,9.0,9.0,9,8,7,9,9,8,8.5,7.5,9.0,9.0,8.5,3.235261175570392,2.983363068701456,3.0389384478357613,1.627609277358398,2.935201704834141,3.2019278422370587,1.7572653384263612,3.12043314503641,2.7870403409668256,2.7129596590331686,1
61,61,13,62,9.0,8.0,10.0,10.0,9,8,9,10,10,10,8.5,8.5,10.0,10.0,9.5,3.0696082954081403,3.2486569504566565,3.4881812779809143,1.1705523883533455,2.7905596403596244,3.3017524475521185,1.4100767158776033,3.162228120027861,2.910321804121753,3.381395693195312,1
62,62,13,63,8.0,9.0,10.0,10.0,7,8,7,10,8,9,8.0,8.0,10.0,9.0,8.0,3.10486296518857,2.9772421168484637,3.360104661868785,0.9210168267175004,2.6905712484993245,3.483917186880075,1.2410210283999723,2.8791462785128723,3.389629671873301,3.3858213485444835,2
63,63,13,64,9.0,8.0,9.0,10.0,9,8,7,10,9,8,8.5,7.5,9.5,9.5,8.5,3.308672314724768,2.9466744509657103,3.2379107151401407,1.2787822013293235,2.718009920539985,3.4250520463966105,1.9483960609346545,3.02972084930422,2.680581654288692,2.75953311970924,2
64,64,13,65,8.0,7.0,9.0,6.0,9,7,10,7,10,7,7.5,8.5,8.0,8.0,8.0,0.8061003192366468,3.0412973276875657,3.083890171839004,3.296854392596193,2.904259284415147,3.135742526808546,2.9801854618999184,3.178335370959984,3.1505568385056706,2.956111639384689,2
65,65,14,66,9.0,9.0,7.0,8.0,8,9,9,10,9,8,9.0,9.0,8.5,8.5,8.0,3.0637460763110105,2.8578091829879413,2.619451173011034,1.5797173531085378,2.8646582929905064,3.182468972959716,2.7587213996674373,2.7185389563315376,3.00392851964691,2.9176267396520417,2
66,66,14,67,9.0,7.0,10.0,7.0,9,6,9,6,9,8,7.5,8.0,8.0,8.0,8.5,3.2792683429544365,3.0130589619412462,2.829954271434651,1.6981452236129044,2.5719639023414245,3.0380208548034564,2.663592461870301,2.9547637357457024,2.6468495809280554,3.1710493310344723,1
67,67,14,68,9.0,8.0,9.0,9.0,9,6,8,9,9,9,7.5,8.0,9.0,9.0,9.0,2.773601483792375,2.308275569420904,2.9061899547394883,2.275240181042058,2.773601483792375,2.8396722605500657,2.7734525113151305,3.071962786542691,3.0722607314971797,2.972409703974423,1
68,68,14,69,9.0,6.0,9.0,6.0,9,6,9,6,9,6,7.5,7.5,7.5,7.5,7.5,2.336236388878672,3.75830273051341,2.442001696209451,3.388124154855683,2.389119042544061,3.2294761938595142,2.336236388878672,3.282358847524904,2.389119042544061,3.282358847524904,2
69,69,14,70,9.0,6.0,9.0,6.0,9,6,9,6,9,6,7.5,7.5,7.5,7.5,7.5,2.937812973476246,3.1608697916351223,2.985243844682631,2.9044796401429123,2.558366003825159,2.876284564396807,2.605796875031545,2.73399195077765,3.013438920428736,2.8570487689365267,2
